Index, Central Time, Arrival Calls (of 100000)
0, 0.020000, 17887
1, 0.060000, 14837
2, 0.100000, 12202
3, 0.140000, 9914
4, 0.180000, 8193
5, 0.220000, 6729
6, 0.260000, 5588
7, 0.300000, 4485
8, 0.340000, 3668
9, 0.380000, 3026
10, 0.420000, 2405
11, 0.460000, 2041
12, 0.500000, 1628
13, 0.540000, 1306
14, 0.580000, 1165
15, 0.620000, 899
16, 0.660000, 756
17, 0.700000, 610
18, 0.740000, 486
19, 0.780000, 422
20, 0.820000, 295
21, 0.860000, 255
22, 0.900000, 219
23, 0.940000, 171
24, 0.980000, 813
